index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
637,Deep Learning Researcher,,Topaz Labs,Dallas,TX,Onsite,$62600 - $79300,yearly,62600,79300,70950,,simplyhired.com
638,Mail Processing Statistician,Statistics,Confidential,Sterling,VA,Onsite,$42900 - $54400,yearly,42900,54400,48650,,simplyhired.com
639,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
640,"Data Scientist, Customer Experimentation",,Eppo,,,Remote,$150000 - $174000,yearly,150000,174000,162000,,simplyhired.com
641,Data Scientist,,ServiceMaster,,,Remote,$89400 - $11300,yearly,89400,11300,50350,,simplyhired.com
642,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
643,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
644,Senior Healthcare Data Analyst,,Scottish Rite for Children,Dallas,TX,Onsite,$75600 - $95700,yearly,75600,95700,85650,,simplyhired.com
645,Data Engineer,,"Bluemont Technology & Research, Inc.",Norfolk,VA,Onsite,$90000 - $130000,yearly,90000,130000,110000,,simplyhired.com
646,Data Scientist-Threat Management,,Reithorp Solutions LLC,Washington,DC,Onsite,$118000 - $150000,yearly,118000,150000,134000,,simplyhired.com
647,Senior Data Scientist (ML / AI) - RCCB,"ML, AI",Reyes Coca-Cola Bottling,Niles,IL,Onsite,,yearly,,,,,simplyhired.com
648,Senior Data Analyst,,Physician's Weekly,Basking Ridge,NJ,Onsite,$75000 - $90000,yearly,75000,90000,82500,,simplyhired.com
649,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
650,Data Science Consultant,,Deloitte,Rosslyn,VA,Onsite,$117000 - $149000,yearly,117000,149000,133000,,simplyhired.com
651,Data Scientist,,"Modular Mining Systems, Inc",Tucson,AZ,Onsite,$85900 - $10900,yearly,85900,10900,48400,,simplyhired.com
652,AI Machine Learning Scientist,"ML, AI",Elevance Health,Chicago,IL,Onsite,$105000 - $133000,yearly,105000,133000,119000,,simplyhired.com
653,Data Scientist,,Ivy Rehab Physical Therapy,,,Remote,$113000 - $143000,yearly,113000,143000,128000,,simplyhired.com
654,Data Scientist,,Tellus Solutions,,,Remote,,yearly,,,,,simplyhired.com
655,Data Scientist,,QuantAQ,,,Remote,$109000 - $147000,yearly,109000,147000,128000,,simplyhired.com
656,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
657,Data Scientist,,ServiceMaster,,,Remote,$89400 - $11300,yearly,89400,11300,50350,,simplyhired.com
658,Data Scientist II,,Navy Federal Credit Union,Pensacola,FL,Onsite,,yearly,,,,,simplyhired.com
659,Data Scientist I/II (Savings Products),,Navy Federal Credit Union,Pensacola,FL,Onsite,,yearly,,,,,simplyhired.com
660,Manager of Data Engineering and Science,,Fusion Medical Staffing,Omaha,NE,Onsite,$135000 - $145000,yearly,135000,145000,140000,,simplyhired.com
661,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
662,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
663,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
664,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
665,Senior Data Scientist,,Beam,,,Remote,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
666,Junior Data Scientist,,Pragmatics,Columbia,MD,Onsite,$110000 - $150000,yearly,110000,150000,130000,,simplyhired.com
667,Data Scientist IV,,MAPFRE,Boston,MA,Onsite,$101000 - $127000,yearly,101000,127000,114000,,simplyhired.com
668,Data Scientist II,,Vetegrity,Fort Meade,MD,Onsite,$124000 - $157000,yearly,124000,157000,140500,,simplyhired.com
669,Director Engineering - Data Science & BI,Business intelligence,Medifast Inc,Baltimore,MD,Onsite,$92800 - $11700,yearly,92800,11700,52250,,simplyhired.com
670,Provider Data Analyst Senior ( Network Management Consult Senior),,Elevance Health,Louisiana,,Onsite,$81900 - $10400,yearly,81900,10400,46150,,simplyhired.com
671,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
672,Provider Data Analyst Senior ( Network Management Consult Senior),,Elevance Health,Louisiana,,Onsite,$81900 - $10400,yearly,81900,10400,46150,,simplyhired.com
673,Business Intelligence & Analytics - Data Scientist,,Boston Consulting Group,Atlanta,GA,Onsite,$102000 - $129000,yearly,102000,129000,115500,,simplyhired.com
674,Sr. Data Scientist,,Creative Financial Staffing,Fairfax,VA,Onsite,,yearly,,,,,simplyhired.com
675,Data Scientist,,Tellus Solutions,,,Remote,,yearly,,,,,simplyhired.com
676,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
677,Data Scientist,,ServiceMaster,,,Remote,$89400 - $11300,yearly,89400,11300,50350,,simplyhired.com
678,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
